Batch,Average Reward
1936,-4.523998260498047
1939,-4.750735282897949
1942,-4.048279285430908
1945,-4.224476337432861
1948,-4.043508052825928
1951,-3.8621017932891846
1954,-6.007465839385986
1957,-4.8574538230896
1960,-4.507028102874756
1963,-3.696336269378662
1966,-4.302945137023926
1969,-3.3140828609466553
1972,-4.821325778961182
1975,-4.092350006103516
1978,-4.018589973449707
1981,-3.9682457447052
1984,-4.382761001586914
1987,-4.107138156890869
1990,-4.532883167266846
1993,-3.815495252609253
1996,-3.734731674194336
1999,-3.6033432483673096
2002,-4.721846580505371
2005,-3.7398130893707275
2008,-4.10511589050293
2011,-4.6149492263793945
2014,-4.023836135864258
2017,-4.1467766761779785
2020,-3.9896998405456543
2023,-3.5866034030914307
2026,-3.547091245651245
2029,-4.494782447814941
2032,-4.7599873542785645
2035,-5.1006999015808105
2038,-4.018255710601807
2041,-4.19033670425415
2044,-3.7303788661956787
2047,-4.178960800170898
2050,-4.073423862457275
2053,-3.536284923553467
2056,-4.4796576499938965
2059,-3.59879732131958
2062,-4.750239372253418
2065,-4.083371162414551
2068,-3.9994120597839355
2071,-4.203536033630371
2074,-3.901803731918335
2077,-3.5988717079162598
2080,-4.203865051269531
2083,-4.284021377563477
2086,-4.137916564941406
2089,-4.296398639678955
2092,-4.235782146453857
2095,-3.6336944103240967
2098,-3.841442584991455
2101,-4.023840427398682
2104,-3.995342254638672
2107,-4.369755744934082
2110,-3.9612674713134766
2113,-4.129255294799805
2116,-4.146755695343018
2119,-3.848700523376465
2122,-4.217710971832275
2125,-4.559453010559082
2128,-4.388665199279785
2131,-4.918904781341553
2134,-4.014866352081299
2137,-3.9288368225097656
2140,-3.850895404815674
2143,-3.8270344734191895
2146,-4.220858573913574
2149,-4.805936813354492
2152,-4.190661430358887
2155,-4.0254740715026855
2158,-4.221341609954834
2161,-4.095649719238281
2164,-4.4261393547058105
2167,-5.630321979522705
2170,-4.358596324920654
2173,-4.251820087432861
2176,-4.184231758117676
2179,-4.254886627197266
2182,-4.323089122772217
2185,-4.037930011749268
2188,-4.413162708282471
2191,-4.1295294761657715
2194,-3.7225444316864014
2197,-4.375670433044434
2200,-3.6742944717407227
2203,-4.513457298278809
2206,-4.98049259185791
2209,-4.3037214279174805
2212,-4.193945407867432
2215,-4.288091659545898
2218,-3.893003463745117
2221,-3.8981070518493652
2224,-3.9474029541015625
2227,-4.037088394165039
2230,-5.849791049957275
2233,-3.697481632232666
2236,-4.233560562133789
2239,-4.323397636413574
2242,-3.9528982639312744
2245,-4.300377368927002
2248,-4.544907093048096
2251,-4.209831237792969
2254,-4.408469200134277
2257,-3.817530632019043
2260,-4.488105773925781
2263,-4.378151893615723
2266,-4.6698126792907715
2269,-3.911217212677002
2272,-4.417203426361084
