 [  0.53926986 395.22848   ]
 [  0.53955351 395.22351198]
 [  0.54495761 395.21936743]
 [  0.5474799  395.20987241]
 [  0.55583057 395.20221079]
 [  0.56012621 395.18892762]
 [  0.57086537 395.17867789]
 [  0.57625758 395.16268277]
 [  0.58863594 395.15105839]
 [  0.59429777 395.13366493]
 [  0.60744381 395.12205088]
 [  0.61247443 395.10468569]
 [  0.62547691 395.0945069 ]
 [  0.62898681 395.07857092]
 [  0.640984   395.07115351]
 [  0.64218165 395.05788206]
 [  0.65244904 395.05432101]
 [  0.65072054 395.04465689]
 [  0.65874749 395.04570435]
 [  0.65371998 395.04019847]
 [  0.6592662  395.04618579]
 [  0.65084728 395.04493736]
 [  0.65397148 395.05574056]
 [  0.64235887 395.05838466]
 [  0.64341541 395.07343808]
 [  0.63198348 395.08365356]
 [  0.62435212 395.09558622]
 [  0.61580025 395.1085798 ]
 [  0.60732048 395.12312315]
 [  0.59732893 395.13694599]
 [  0.58910169 395.15236283]
 [  0.57912924 395.16606622]
 [  0.57103173 395.17984468]
 [  0.56230991 395.19143647]
 [  0.55624769 395.20327482]
 [  0.54880749 395.21146679]
 [  0.54549796 395.22025525]
 [  0.53992524 395.22409557]
 [  0.53987404 395.2291149 ]
 [  0.53649891 395.22805751]
 [  0.53994685 395.22901065]
 [  0.53882599 395.22294542]
 [  0.54573492 395.21997309]
 [  0.54665125 395.20922926]
 [  0.55671032 395.20289322]
 [  0.55919439 395.18820721]
 [  0.5718489  395.17943775]
 [  0.57522166 395.16188506]
 [  0.58972356 395.15189547]
 [  0.59315791 395.13279056]
 [  0.60863484 395.12296429]
 [  0.61123173 395.10373583]
 [  0.62676989 395.09549531]
 [  0.62764299 395.07754698]
 [  0.64237703 395.07221554]
 [  0.64073865 395.05678536]
 [  0.65394027 395.05545557]
 [  0.64917998 395.04348824]
 [  0.66033562 395.04691102]
 [  0.65208271 395.03895787]
 [  0.66095095 395.04746511]
 [  0.6491129  395.04362369]
 [  0.65575398 395.05709428]
 [  0.64394904 395.06225576]
 [  0.64020894 395.07258233]
 [  0.63125615 395.08162934]
 [  0.62604765 395.09606645]
 [  0.61509718 395.10800553]
 [  0.60810036 395.12371968]
 [  0.59763924 395.13805044]
 [  0.58830055 395.15228677]
 [  0.57920406 395.16610049]
 [  0.57091084 395.17969441]
